,True,LSTM_prediction,Loss_LSTM
0,1.018,1.0180238,0.08418531626465078
1,1.0181,1.0129845,0.006570470808536273
2,1.023,1.0126399,0.0016500636559311332
3,1.0301,1.0159124,0.0003487498144220819
4,1.0331,1.0184352,7.623313423788884e-05
5,1.0198,1.0228777,4.5518552554261197e-05
6,1.0196,1.0179214,5.1890402712626104e-05
7,1.0129,1.0131133,6.55501328019287e-05
8,1.0118,1.0121311,8.184917282435881e-05
9,1.0085,1.0092874,0.00010159235341121392
10,1.0059,1.006589,0.00011646820932114121
11,1.0112,1.0073344,0.00012035996970277609
12,1.0129,1.0055251,
13,1.0111,1.0103395,
14,1.0107,1.0106324,
15,1.0117,1.0090902,
16,1.0097,1.0081747,
17,1.0081,1.0099497,
18,1.0096,1.0086486,
19,1.0107,1.0067506,
20,1.0069,1.0085677,
21,1.0058,1.0058272,
22,1.0014,1.0045577,
23,1.0054,1.0034817,
24,1.0037,1.0031794,
25,0.9976,1.0041354,
26,1.0042,1.000242,
27,1.0089,1.001589,
28,1.0107,1.0047388,
29,1.0203,1.0069069,
30,1.0198,1.0111659,
31,1.0143,1.0148233,
32,1.0054,1.0114797,
33,0.9987,1.0069278,
34,1.0059,1.0011126,
35,1.0064,1.0019349,
36,1.0069,1.0061586,
37,1.0045,1.0070897,
38,1.0057,1.0052487,
39,1.0070000000000001,1.0056446,
40,0.9984,1.005311,
41,1.0049,1.0021441,
42,1.0053,1.002345,
43,1.0015,1.0041386,
44,0.9966,1.0029993,
45,0.9997,0.9981986,
46,0.997,1.0000595,
47,0.9963,0.9999219,
48,0.9856,0.9981631,
49,0.9847,0.9906566,
50,0.9796,0.98884106,
51,0.9809,0.9875032,
52,0.9868,0.9868084,
53,0.9798,0.989324,
54,0.9844,0.98676395,
55,0.9903,0.98835015,
56,0.9904,0.99262094,
57,0.9997,0.994341,
58,1.0026,0.9963651,
59,1.0025,1.0022285,
60,0.9926,1.0019245,
61,0.9914,0.99794936,
62,0.9929,0.99685884,
63,0.9961,0.995687,
64,1.0005,0.9941313,
65,0.9941,1.0003598,
66,0.9987,0.99862695,
67,0.9996,0.9983455,
68,1.0017,0.99974215,
69,1.0009,1.0016569,
70,1.0035,1.0006528,
71,1.0037,1.001994,
72,1.0028,1.0036906,
73,1.0019,1.0038702,
74,1.0038,1.0013157,
75,1.0012,1.00325,
76,0.9993,1.0020232,
77,0.9977,1.001659,
78,1.0005,1.0006053,
79,0.9996,1.0013433,
80,0.9975,1.0022901,
81,0.9972,0.99997175,
82,0.9939,1.0003275,
83,0.9925,0.99672985,
84,0.9893,0.99648595,
85,0.9904,0.99417436,
86,0.9965,0.9943024,
87,0.9954,0.9951112,
88,0.9971,0.9965255,
89,0.992,0.9993855,
90,0.9875,0.9971752,
91,0.9898,0.99300504,
92,0.9782,0.99308705,
93,0.9754,0.98384464,
94,0.9790000000000001,0.98470044,
95,0.9727,0.9852388,
96,0.9774,0.98402023,
97,0.9724,0.9815507,
98,0.9738,0.9828336,
99,0.9759,0.9818281,
100,0.9790000000000001,0.9829283,
101,0.9848,0.9835944,
102,0.9894,0.9872551,
103,0.9781,0.9919882,
104,0.9825,0.98799396,
105,0.9818,0.9856776,
106,0.9742,0.987705,
107,0.9794,0.9846469,
108,0.9772,0.98224723,
109,0.9783,0.9845885,
110,0.9793,0.9843857,
111,0.9787,0.98551464,
112,0.9812,0.9856794,
113,0.9798,0.98696387,
114,0.9748,0.98494196,
115,0.9731,0.9829745,
116,0.9736,0.9820659,
117,0.9712,0.9822241,
118,0.9757,0.98162353,
119,0.9842,0.98173535,
120,0.983,0.9868301,
121,0.9825,0.9903555,
122,0.9784,0.9895444,
123,0.9840000000000001,0.98642385,
124,0.9871,0.98699,
125,0.9875,0.9886079,
126,0.986,0.9923153,
127,0.9853,0.99083877,
128,0.985,0.98675144,
129,0.9842,0.9909884,
130,0.9866,0.9899951,
131,0.9871,0.99044776,
132,0.9878,0.9910654,
133,0.9883,0.9934876,
134,0.9768,0.9938189,
135,0.9772,0.9867023,
136,0.9773,0.9845997,
137,0.9774,0.98493886,
138,0.9743,0.9851712,
139,0.9718,0.98309314,
140,0.9707,0.98162186,
141,0.9721,0.9806864,
142,0.9687,0.98047364,
143,0.9684,0.977288,
144,0.9665,0.9785701,
145,0.968,0.97509754,
146,0.9689,0.9768537,
147,0.9681,0.97780836,
148,0.9688,0.97668767,
149,0.9708,0.978426,
150,0.9739,0.9784032,
151,0.9742,0.9813789,
152,0.976,0.9814322,
153,0.9655,0.9834267,
154,0.9631,0.97896636,
155,0.9661,0.9756818,
156,0.9676,0.9763514,
157,0.9653,0.97336197,
158,0.9647,0.9765736,
159,0.9681,0.97636616,
160,0.9727,0.9773871,
161,0.9791,0.9793091,
162,0.9813,0.9835193,
163,0.9841,0.98677623,
164,0.9863,0.98785937,
165,0.9868,0.99112606,
166,0.9841,0.9920093,
167,0.9819,0.9906583,
168,0.9822,0.9870677,
169,0.9808,0.9892179,
170,0.9840000000000001,0.9882902,
171,0.9809,0.98843384,
172,0.9817,0.98821473,
173,0.9799,0.98676705,
174,0.9827,0.98719585,
175,0.9823,0.98707235,
176,0.9761,0.9890648,
177,0.9741,0.98324955,
178,0.9751,0.9824523,
179,0.9838,0.98249996,
180,0.9886,0.9854938,
181,0.986,0.9912331,
182,0.9902,0.99149644,
183,0.9918,0.9928924,
184,0.9935,0.99538684,
185,0.9995,0.9963777,
186,0.9982,0.99831045,
187,0.9941,1.0003864,
188,0.9957,0.99805975,
189,0.9939,0.9979403,
190,1.0002,0.99731016,
191,0.9988,0.9979416,
192,0.9975,1.0001708,
193,0.9918,0.9995779,
194,0.9861,0.9965974,
195,0.9848,0.9922719,
196,0.9879,0.9891436,
197,0.9881,0.99092627,
198,0.9826,0.99148726,
199,0.9817,0.99050784,
200,0.9842,0.9887302,
201,0.9892,0.98883057,
202,0.9896,0.99078333,
203,0.9909,0.9932637,
204,0.9917,0.9915607,
205,0.9935,0.99463606,
206,0.9976,0.99633706,
207,0.9913,0.99790895,
208,0.9969,0.99682665,
209,0.9913,0.9961628,
210,0.9959,0.99511576,
211,0.995,0.9962449,
212,0.9964,0.998235,
213,0.9957,0.9988769,
214,1.0006,0.996974,
215,1.0073,0.99968934,
216,1.0081,1.0031868,
217,1.0102,1.0078764,
218,1.0048,1.0080792,
219,1.0057,1.0063637,
220,1.0111,1.0042669,
221,1.0199,1.0072476,
222,1.0206,1.0116183,
223,1.0184,1.0156413,
224,1.0108,1.0150577,
225,1.0095,1.0105993,
226,1.0042,1.0079095,
227,1.003,1.006105,
228,0.9964,1.0014557,
229,0.9929,0.9993601,
230,0.9955,0.9970658,
231,0.9894,0.9975985,
232,0.9905,0.9954995,
233,0.9899,0.99398863,
234,0.9895,0.99465346,
235,0.9841,0.99410665,
236,0.9854,0.9906465,
237,0.9802,0.990461,
238,0.9809,0.98823273,
239,0.9783,0.9873096,
240,0.9784,0.9869517,
241,0.9754,0.98661375,
242,0.9767,0.9845693,
243,0.9794,0.98469865,
244,0.9781,0.9857682,
245,0.9752,0.9862797,
246,0.9833,0.98385715,
247,0.9795,0.9859648,
248,0.9786,0.9873072,
249,0.9773,0.98352814,
250,0.9757,0.9855466,
251,0.9718,0.9837979,
252,0.9727,0.9820646,
253,0.9734,0.9817451,
254,0.9666,0.98173165,
255,0.9627,0.9787867,
256,0.9651,0.9754807,
257,0.9681,0.97451556,
258,0.9690000000000001,0.97693753,
259,0.9685,0.97852135,
260,0.9653,0.97744286,
261,0.9594,0.97719204,
262,0.9623,0.97227824,
263,0.9655,0.97096205,
264,0.9640000000000001,0.97421825,
265,0.9624,0.9757389,
266,0.9621,0.97396064,
267,0.9624,0.9729321,
268,0.9685,0.9735564,
269,0.97,0.97552,
270,0.9715,0.9787843,
271,0.971,0.97953546,
272,0.9762,0.98022103,
273,0.9802,0.98177314,
274,0.9772,0.9855565,
275,0.9763,0.98593724,
276,0.9806,0.98264277,
277,0.9803,0.9836507,
278,0.9895,0.9858054,
279,0.9879,0.9891393,
280,0.9928,0.99347126,
281,0.9894,0.99319756,
282,0.9823,0.9946084,
283,0.9883,0.9902874,
284,0.9858,0.991698,
285,0.9839,0.99255,
286,0.9803,0.99015784,
287,0.9832,0.9875318,
288,0.9803,0.9875592,
289,0.9814,0.9878515,
290,0.9815,0.984478,
291,0.9832,0.9881073,
292,0.988,0.98772454,
293,0.9853,0.9914113,
294,0.9837,0.9915563,
295,0.9795,0.9901115,
296,0.9748,0.98702633,
297,0.9732,0.9843612,
298,0.9676,0.9827274,
299,0.9706,0.9790087,
300,0.971,0.9790933,
301,0.973,0.9798857,
302,0.9790000000000001,0.9816605,
303,0.9789,0.983387,
304,0.9733,0.9859654,
305,0.9748,0.9807434,
306,0.977,0.9829937,
307,0.9748,0.98296285,
308,0.9749,0.9835948,
309,0.9744,0.98286605,
310,0.9761,0.98300624,
311,0.9751,0.9823533,
312,0.9724,0.98275113,
313,0.9762,0.9816638,
314,0.973,0.9821435,
315,0.9653,0.98176205,
316,0.9674,0.9774083,
317,0.966,0.9764192,
318,0.9670000000000001,0.97577727,
319,0.9628,0.9776411,
320,0.9592,0.9746746,
321,0.9614,0.972687,
322,0.961,0.9722413,
323,0.9693,0.9738035,
324,0.9682,0.9749516,
325,0.9625,0.978498,
326,0.9586,0.97566485,
327,0.9557,0.96991324,
328,0.946,0.96934974,
329,0.9515,0.9639437,
330,0.9558,0.96135235,
331,0.9557,0.9667431,
332,0.9577,0.96723807,
333,0.9608,0.9688313,
334,0.9558,0.9709381,
335,0.9486,0.9701657,
336,0.955,0.96497285,
337,0.9527,0.96549404,
338,0.9487,0.96748877,
339,0.9439,0.96495044,
340,0.9428,0.9608364,
341,0.9390000000000001,0.9593947,
342,0.9469,0.9568013,
343,0.9484,0.9600718,
344,0.9462,0.96191037,
345,0.9361,0.9630109,
346,0.9363,0.9565649,
347,0.9309,0.9550338,
348,0.9327,0.9509573,
349,0.9348,0.9492991,
350,0.9322,0.95285153,
351,0.9361,0.9528905,
352,0.9371,0.95258045,
353,0.9391,0.95424426,
354,0.9414,0.95650256,
355,0.9416,0.95662713,
356,0.9401,0.9573022,
357,0.9394,0.95672846,
358,0.9454,0.9567621,
359,0.9403,0.9587749,
360,0.9328,0.95923066,
361,0.9259,0.9534912,
362,0.9223,0.9467659,
363,0.9149,0.9435853,
364,0.9152,0.9392042,
365,0.9129999999999999,0.93632317,
366,0.9174,0.93702435,
367,0.9196,0.93782794,
368,0.9206,0.9402466,
369,0.9286,0.94282424,
370,0.9269,0.9444488,
371,0.9266,0.9476323,
372,0.9238,0.9476721,
373,0.9257,0.9455346,
374,0.9294,0.9457953,
375,0.9331,0.9482113,
376,0.9278,0.95002925,
377,0.9272,0.9497434,
378,0.9218,0.946808,
379,0.9258,0.9431387,
380,0.929,0.9443598,
381,0.9268,0.9449953,
382,0.9321,0.948485,
383,0.9305,0.9492185,
384,0.943,0.9497818,
385,0.9432,0.95351434,
386,0.9456,0.9604887,
387,0.9507,0.96034634,
388,0.9539,0.9627868,
389,0.9547,0.96527123,
390,0.9542,0.96842885,
391,0.951,0.96843565,
392,0.9556,0.96662295,
393,0.9576,0.9658606,
394,0.9589,0.96813667,
395,0.9647,0.9725983,
396,0.961,0.97104275,
397,0.9611,0.9738574,
398,0.9612,0.97113085,
399,0.9579,0.9733771,
400,0.9568,0.96865344,
401,0.9613,0.97044504,
402,0.9705,0.9711448,
403,0.9725,0.97550595,
404,0.9728,0.9806421,
405,0.9712,0.98075116,
406,0.9734,0.9820231,
407,0.9684,0.9807497,
408,0.9594,0.9785894,
409,0.9639,0.9733014,
410,0.9652,0.9716146,
411,0.9647,0.9758003,
412,0.9645,0.97548807,
413,0.9609,0.9760872,
414,0.9628,0.9723488,
415,0.9677,0.9730488,
416,0.9589,0.9756534,
417,0.9604,0.9732193,
418,0.9568,0.9715003,
419,0.9613,0.97153413,
420,0.9599,0.97115064,
421,0.958,0.9710475,
422,0.9604,0.9713588,
423,0.9617,0.9718946,
424,0.9489,0.97309244,
425,0.9446,0.966959,
426,0.9527,0.95104253,
427,0.9505,0.96246946,
428,0.948,0.96510243,
429,0.948,0.9629389,
430,0.9515,0.9632269,
431,0.9567,0.96373725,
432,0.9558,0.96718884,
433,0.9557,0.9685463,
434,0.9508,0.96800613,
435,0.9557,0.96655226,
436,0.951,0.9667702,
437,0.9507,0.9665575,
438,0.9536,0.9652009,
439,0.9478,0.96573293,
440,0.9498,0.96409214,
441,0.95,0.96283484,
442,0.9499,0.96454215,
443,0.9541,0.96411264,
444,0.955,0.9655503,
445,0.9498,0.96843255,
446,0.9479,0.9655249,
447,0.9502,0.9633138,
448,0.9397,0.962252,
449,0.9455,0.9592345,
450,0.9414,0.9581028,
451,0.9396,0.95837355,
452,0.9391,0.95783377,
453,0.9403,0.9575449,
454,0.9451,0.9575379,
455,0.9470000000000001,0.95916414,
456,0.9469,0.9605918,
457,0.9442,0.9604541,
458,0.9384,0.9606688,
459,0.9378,0.95527375,
460,0.9459,0.956465,
461,0.9469,0.9603164,
462,0.9401,0.9614705,
463,0.9345,0.9579475,
464,0.9419,0.9538399,
465,0.9440000000000001,0.95377016,
466,0.9462,0.95966244,
467,0.9455,0.959962,
468,0.9441,0.9586859,
469,0.9454,0.9610894,
470,0.9472,0.9603648,
471,0.9458,0.9612769,
472,0.9442,0.9627012,
473,0.9421,0.9597894,
474,0.9457,0.9579536,
475,0.9472,0.96003985,
476,0.9445,0.9616431,
477,0.9468,0.9602157,
478,0.9517,0.9603033,
479,0.9513,0.9636458,
480,0.9538,0.964743,
481,0.9548,0.96598995,
482,0.9505,0.9680637,
483,0.9512,0.9659388,
484,0.9481,0.96528614,
485,0.9472,0.96425116,
486,0.9434,0.9638243,
487,0.9494,0.9605385,
488,0.9509,0.9607879,
489,0.9515,0.9648372,
490,0.9490000000000001,0.9659784,
491,0.95,0.96475637,
492,0.9556,0.9644669,
493,0.9533,0.96547365,
494,0.9558,0.9678365,
495,0.9590000000000001,0.96814644,
496,0.9582,0.96993816,
497,0.9574,0.97055626,
498,0.9568,0.9706522,
499,0.9522,0.97039676,
500,0.9535,0.96797097,
501,0.9468,0.9663527,
502,0.9464,0.9631467,
503,0.9482,0.9615555,
504,0.9495,0.96257305,
505,0.9446,0.96349263,
506,0.9427,0.9621533,
507,0.9432,0.9601575,
508,0.943,0.95961094,
509,0.9411,0.9590546,
510,0.9451,0.9561186,
511,0.9422,0.9582535,
512,0.9415,0.95977783,
513,0.9396,0.958109,
514,0.9362,0.95711637,
515,0.9351,0.95503354,
516,0.9311,0.95408607,
517,0.9282,0.95137596,
518,0.9251,0.9485272,
519,0.9279,0.9462657,
520,0.9231,0.94908917,
521,0.9246,0.9453788,
522,0.9294,0.94369245,
523,0.9314,0.9465598,
524,0.9348,0.9491453,
525,0.9353,0.9510156,
526,0.9335,0.95369184,
527,0.9376,0.95260656,
528,0.9379,0.95367086,
529,0.9369,0.9556545,
530,0.9353,0.95534194,
531,0.9327,0.953933,
532,0.9294,0.95289195,
533,0.9239,0.9499965,
534,0.9249,0.94657207,
535,0.9247,0.9444041,
536,0.9219,0.9449649,
537,0.9219,0.9423858,
538,0.9194,0.9423305,
539,0.9201,0.94197154,
540,0.9145,0.9406824,
541,0.9134,0.93902504,
542,0.9158,0.9366946,
543,0.9179,0.9365003,
544,0.9166,0.94007504,
545,0.917,0.9403422,
546,0.9179,0.94020295,
547,0.92,0.9403262,
548,0.9148,0.9401928,
549,0.9169,0.9384167,
550,0.9189,0.9392433,
551,0.9127,0.93999994,
552,0.9134,0.93779695,
553,0.9098,0.93668056,
554,0.9107,0.93474114,
555,0.9112,0.93416226,
556,0.9149,0.93494165,
557,0.9189,0.93625104,
558,0.9177,0.9387517,
559,0.9152,0.93987143,
560,0.9217,0.93903863,
561,0.92,0.9402267,
562,0.9231,0.9429064,
563,0.9203,0.9422829,
564,0.9173,0.94308174,
565,0.9153,0.94059634,
566,0.91,0.9383228,
567,0.9083,0.9356867,
568,0.9042,0.9338907,
569,0.903,0.93105674,
570,0.8987,0.9294932,
571,0.8976,0.9275347,
572,0.8934,0.92560184,
573,0.8973,0.9222084,
574,0.8992,0.922102,
575,0.9001,0.92128,
576,0.8965,0.92690694,
577,0.8937,0.925328,
578,0.8989,0.92229533,
579,0.8988,0.9235815,
580,0.9026,0.9240521,
581,0.8996,0.92717373,
582,0.9015,0.92779803,
583,0.9029,0.9263874,
584,0.9014,0.92825687,
585,0.899,0.92809093,
586,0.8973,0.9262291,
587,0.8981,0.925166,
588,0.8974,0.92210793,
589,0.8962,0.92287445,
590,0.8947,0.9242774,
591,0.8973,0.9231956,
592,0.9023,0.9214159,
593,0.8992,0.9233476,
594,0.9017,0.927405,
595,0.9021,0.92690885,
596,0.9038,0.9284836,
597,0.9022,0.92850125,
598,0.9057,0.92906415,
599,0.9074,0.92875874,
600,0.9145,0.9319184,
601,0.9093,0.933836,
602,0.9094,0.93416154,
603,0.9079999999999999,0.9322523,
604,0.9014,0.9326414,
605,0.8973,0.92889905,
606,0.8978,0.9257691,
607,0.9003,0.92573035,
608,0.8953,0.9259852,
609,0.8955,0.92460513,
610,0.8957,0.9234799,
611,0.8941,0.9233272,
612,0.8864,0.9218445,
613,0.8935,0.91818666,
614,0.8996,0.9164562,
615,0.9006,0.9230784,
616,0.8958,0.92653203,
617,0.8965,0.92478454,
618,0.8966,0.9240581,
619,0.8988,0.9243703,
620,0.897,0.92474484,
621,0.8971,0.9255949,
622,0.8922,0.92209506,
623,0.8925,0.9215815,
624,0.8968,0.91881084,
625,0.9,0.9222561,
626,0.899,0.9249568,
627,0.898,0.92638946,
628,0.8959,0.92559993,
629,0.8913,0.9240539,
630,0.8909,0.92114973,
631,0.8929,0.92003167,
632,0.8984,0.9203316,
633,0.9083,0.922431,
634,0.9076,0.92702997,
635,0.9088,0.9324738,
636,0.9055,0.93321824,
637,0.9069,0.93162704,
638,0.9079,0.9316329,
639,0.9089,0.9322401,
640,0.9073,0.93249464,
641,0.9063,0.9322132,
642,0.9058,0.9317075,
643,0.9061,0.93083155,
644,0.8993,0.9310305,
645,0.9019,0.92707014,
646,0.8994,0.9264549,
647,0.9058,0.9268167,
648,0.9046,0.9266093,
649,0.9017,0.9309107,
650,0.9024,0.92901254,
651,0.9016,0.9278166,
652,0.9009,0.92840827,
653,0.9001,0.92833817,
654,0.8986,0.9270278,
655,0.9072,0.9259609,
656,0.9102,0.92714465,
657,0.9041,0.9333205,
658,0.9005,0.9314681,
659,0.9069,0.92684174,
660,0.9041,0.92874455,
661,0.9017,0.930459,
